spotify_id,tag,count,normalized_count,source,selected
00309sp8DDeN07RtAyBKIX,high energy,10,0.1,LastFM,0
00309sp8DDeN07RtAyBKIX,party,1,0.6018181818181818,Rate your music,1
00309sp8DDeN07RtAyBKIX,aggressive,7,0.6363636363636364,All Music,0
00309sp8DDeN07RtAyBKIX,happy,7,0.6363636363636364,All Music,1
00309sp8DDeN07RtAyBKIX,rousing,7,0.6363636363636364,All Music,1
003gesN9g85fPpsH1Gx5OO,happy,13,0.13,LastFM,1
003vvx7Niy0yvhvHt4a68B,happy,3,0.03,LastFM,1
003vvx7Niy0yvhvHt4a68B,ambitious,5,0.45454545454545453,All Music,1
003vvx7Niy0yvhvHt4a68B,angst-ridden,8,0.7272727272727273,All Music,0
003vvx7Niy0yvhvHt4a68B,brash,7,0.6363636363636364,All Music,1
003vvx7Niy0yvhvHt4a68B,brooding,7,0.6363636363636364,All Music,0
003vvx7Niy0yvhvHt4a68B,confident,8,0.7272727272727273,All Music,1
003vvx7Niy0yvhvHt4a68B,dramatic,8,0.7272727272727273,All Music,0
003vvx7Niy0yvhvHt4a68B,exuberant,8,0.7272727272727273,All Music,1
003vvx7Niy0yvhvHt4a68B,fractured,8,0.7272727272727273,All Music,0
003vvx7Niy0yvhvHt4a68B,gutsy,4,0.36363636363636365,All Music,1
003vvx7Niy0yvhvHt4a68B,indulgent,8,0.7272727272727273,All Music,1
003vvx7Niy0yvhvHt4a68B,intense,7,0.6363636363636364,All Music,0
003vvx7Niy0yvhvHt4a68B,intimate,4,0.36363636363636365,All Music,1
003vvx7Niy0yvhvHt4a68B,late night,9,0.8181818181818182,All Music,1
003vvx7Niy0yvhvHt4a68B,passionate,7,0.6363636363636364,All Music,1
003vvx7Niy0yvhvHt4a68B,playful,4,0.36363636363636365,All Music,1
003vvx7Niy0yvhvHt4a68B,reflective,5,0.45454545454545453,All Music,1
003vvx7Niy0yvhvHt4a68B,searching,6,0.5454545454545454,All Music,1
003vvx7Niy0yvhvHt4a68B,wistful,5,0.45454545454545453,All Music,0
003vvx7Niy0yvhvHt4a68B,yearning,9,0.8181818181818182,All Music,1
00WvmRXTkPBZNhhRK3xfdy,feel good,2,0.02,LastFM,1
00WvmRXTkPBZNhhRK3xfdy,longing,1,0.5840641711229947,Rate your music,1
00WvmRXTkPBZNhhRK3xfdy,love,1,0.5840641711229947,Rate your music,1
00WvmRXTkPBZNhhRK3xfdy,passionate,1,0.5840641711229947,Rate your music,1
00WvmRXTkPBZNhhRK3xfdy,affection,5,0.45454545454545453,All Music,1
00WvmRXTkPBZNhhRK3xfdy,fondness,5,0.45454545454545453,All Music,1
00WvmRXTkPBZNhhRK3xfdy,bittersweet,6,0.5454545454545454,All Music,1
00WvmRXTkPBZNhhRK3xfdy,in love,4,0.36363636363636365,All Music,1
00WvmRXTkPBZNhhRK3xfdy,innocent,8,0.7272727272727273,All Music,1
00WvmRXTkPBZNhhRK3xfdy,intimate,6,0.5454545454545454,All Music,1
00WvmRXTkPBZNhhRK3xfdy,new love,5,0.45454545454545453,All Music,1
00WvmRXTkPBZNhhRK3xfdy,partying,7,0.6363636363636364,All Music,1
00WvmRXTkPBZNhhRK3xfdy,reflective,7,0.6363636363636364,All Music,1
00WvmRXTkPBZNhhRK3xfdy,romantic evening,8,0.7272727272727273,All Music,1
00WvmRXTkPBZNhhRK3xfdy,sensual,5,0.45454545454545453,All Music,1
00WvmRXTkPBZNhhRK3xfdy,soothing,5,0.45454545454545453,All Music,1
00WvmRXTkPBZNhhRK3xfdy,yearning,5,0.45454545454545453,All Music,1
00i2HU7TEzzftShjRrDSEF,special feeling,2,0.02,LastFM,1
00i2HU7TEzzftShjRrDSEF,special feeling,2,0.02,LastFM,1
00i2HU7TEzzftShjRrDSEF,bittersweet,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,crime,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,death,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,ethereal,1,0.8775,Rate your music,1
00i2HU7TEzzftShjRrDSEF,melancholic,1,0.8775,Rate your music,1
00i2HU7TEzzftShjRrDSEF,passionate,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,serious,1,0.8775,Rate your music,1
00i2HU7TEzzftShjRrDSEF,bittersweet,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,crime,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,death,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,ethereal,1,0.8775,Rate your music,1
00i2HU7TEzzftShjRrDSEF,melancholic,1,0.8775,Rate your music,1
00i2HU7TEzzftShjRrDSEF,passionate,1,0.8775,Rate your music,0
00i2HU7TEzzftShjRrDSEF,serious,1,0.8775,Rate your music,1
00jqmEUSISjkugkuFxGiTo,heroes,3,0.03,LastFM,0
00jqmEUSISjkugkuFxGiTo,feeling blue,7,0.6363636363636364,All Music,1
00jqmEUSISjkugkuFxGiTo,loss,7,0.6363636363636364,All Music,1
00jqmEUSISjkugkuFxGiTo,grief,7,0.6363636363636364,All Music,1
00kG2B5W9MQYdPxrICYhNg,elegant,5,0.05,LastFM,1
00kG2B5W9MQYdPxrICYhNg,atmospheric,9,0.8181818181818182,All Music,1
00kG2B5W9MQYdPxrICYhNg,dramatic,8,0.7272727272727273,All Music,1
00kG2B5W9MQYdPxrICYhNg,eerie,7,0.6363636363636364,All Music,1
00kG2B5W9MQYdPxrICYhNg,enigmatic,8,0.7272727272727273,All Music,1
